id,gtg,case_study,harm_area,type,platform,value,role,description,first_seen,last_seen,handling,reference_url,report_date
indicator--4765a239-1b23-5194-a208-5d05757a4fc1,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,signin-1psswoord[.]com,phishing,1Password phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--7b0f06d3-e9c6-5ddb-8c1f-5e58688b3358,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,soraki[.]cc,monetization,AutoShop carding storefront,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--4f5b751b-d270-52ca-a599-fe3c990eefe3,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,domain,,soraki[.]work,infrastructure,Actor infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--25ddd380-9190-5cae-874f-7e2940f519e5,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,hostname,,autoshop.policenationale[.]cc,monetization,Served as the web frontend for the actor's carding autoshop,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--f6f86860-a392-5d07-87fc-da39989424a1,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,hostname,,esvfecawvjmchjslqyemho2fiduc59wzn.oast[.]fun,infrastructure,Callback domain to confirm SSRF and out of band code execution,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--17e82f16-3f5d-59f6-80ec-ee8f7de32bff,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,hostname,,soraki-proxy.20245aad98d27b1b1a2f0f103e1d7ee0.workers[.]dev,infrastructure,Cloudflare Workers proxy,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--db1b96a6-9702-5bbf-bbdd-e61bd4b5adc5,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,hostname,,updatebeacon.duckdns[.]org,c2,C2 callback domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--28f84a81-daca-53f3-8cd1-7fec163702b2,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,104.193.135[.]207,egress,Attacker egress IP,2026-04-05,2026-04-05,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--964d3c2a-d5f4-5185-8ecb-dc3a04661603,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,104.36.50[.]54,egress,Attacker egress IP,2026-04-24,2026-04-24,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--663fbb19-8c82-554d-99d7-1a9c5fe2f6f1,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,162.128.129[.]106,egress,Attacker egress IP,2026-02-20,2026-03-10,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--e12d0d77-e9d1-53f3-a30d-5eacd1007916,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,176.177.12[.]62,egress,Attacker egress IP,2026-04-19,2026-04-20,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--2c31e056-9d29-5a08-8494-ff5f4b5530b7,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,185.65.134[.]199,egress,Attacker egress IP,2026-04-19,2026-04-28,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--13b782f8-9768-5e4d-af24-d7eff96e9bc3,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,185.65.134[.]246,egress,Attacker egress IP,2026-04-19,2026-05-04,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--e60ffa6e-09ac-50be-8839-1dc6b6d21293,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,193.32.249[.]161,egress,Attacker egress IP,2026-03-21,2026-04-18,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--68df1b97-7013-5ccc-9e68-229e44c12668,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,193.32.249[.]164,egress,Attacker egress IP,2026-04-18,2026-05-06,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--7f4d109f-6965-53be-abdf-6cff7598118f,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,193.32.249[.]170,egress,Attacker egress IP,2026-03-20,2026-04-06,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--e0421cd9-28ce-55ed-8621-32dc014d0ec8,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,195.178.110[.]131,infrastructure,VPS Host,2026-03-12,2026-04-30,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--495061d9-08b4-5355-88f8-8a21a26c689c,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,45.148.10[.]242,egress,Attacker egress IP,2026-04-06,2026-04-27,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--c4fa6efa-9169-524d-9bb9-f22bcac83fa4,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,91.171.138[.]169,egress,Attacker egress IP,2026-04-19,2026-04-21,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--59e45a42-1acb-50a7-abcc-da8f0241129a,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv4,,92.118.39[.]3,egress,Attacker egress IP,2026-04-10,2026-04-19,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--46880f5c-491e-5857-bf56-a0579083bfc8,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv6,,2a01:e0a:2e2:aa40:b15d:5d28:6f4a[:]8d53,egress,Attacker egress IP,2026-04-20,2026-04-21,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--7d2b93fe-b5a5-5a53-9e70-af67366f6b39,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,ipv6,,2a04:cec0:1185:34f2:a150:7081:caed[:]448e,egress,Attacker egress IP,2026-04-06,2026-04-07,hunt,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--4453187b-c2b4-5103-92cb-8477c332d392,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,telegram_bot_id,telegram,8628746407,infrastructure,Telegram bot delivering AWS SES credential-validation results directly to the operator's user account,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--a024544b-b35a-54cd-835f-16d87794a61c,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,telegram_bot_id,telegram,8632748474,exfiltration,Telegram bot that posted stolen data.,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
indicator--ce1c5d35-0d6f-5bc2-8deb-41888f1fbb7c,GTG-50014,ShinyHunters smash-and-grab opportunists,cyber_operations,telegram_bot_id,telegram,8664033117,exfiltration,Telegram bot that posted stolen data.,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-50014-shinyhunters-smash-and-grab-opportunists,2026-09-10
